0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
7.366700000000000470e-01,0.000000000000000000e+00,2.145899999999999797e-09,1.591300000000000028e-04,1.162600000000000016e-04,5.078700000000000181e-06,6.969999999999999547e-07,8.104499999999999548e-08,5.568999999999999773e-08,5.946499999999999944e-07,1.503200000000000067e-06,2.901099999999999859e-02,4.726400000000000183e-06,9.031900000000000719e-06,4.969400000000000228e-06,1.833999999999999879e-07,2.089999999999999844e-02,9.237899999999999294e-09,2.657000000000000035e-07,7.133800000000000037e-05,1.413000000000000013e-07,1.120999999999999948e-02,1.429799999999999995e-02,8.892100000000000592e-08,2.199999999999999872e-02,2.301400000000000022e-05,1.160000000000000064e-07,3.429899999999999763e-07,4.663099999999999884e-02,3.621099999999999940e-06,2.773899999999999818e-06,7.766400000000000188e-10,7.599300000000000424e-09,1.256099999999999925e-02,6.305499999999999994e-02,1.749000000000000026e-05,9.810299999999999229e-03,5.265199999999999666e-05,8.195900000000000591e-05,8.030600000000000585e-03,3.001000000000000151e-06,7.767800000000000245e-08,1.716899999999999934e-09,2.845199999999999986e-03,2.242099999999999996e-02
4.502699999999999758e-02,2.045800000000000049e-02,0.000000000000000000e+00,1.383599999999999933e-05,2.011899999999999904e-07,7.185900000000000097e-06,2.122400000000000211e-06,9.642700000000000360e-05,8.148100000000000812e-06,8.480799999999999450e-02,1.122600000000000060e-06,1.030799999999999902e-03,2.495800000000000087e-08,7.419999999999999474e-07,2.184199999999999931e-07,6.433600000000000430e-02,1.022600000000000001e-04,7.623300000000000388e-03,1.664300000000000100e-06,8.293100000000000471e-02,7.871899999999999967e-07,2.018400000000000061e-08,7.139900000000000029e-07,2.613700000000000051e-02,5.837400000000000401e-03,6.122400000000000030e-06,3.352399999999999806e-14,2.600200000000000081e-02,1.149499999999999921e-05,1.257699999999999964e-02,5.442599999999999695e-04,1.625899999999999915e-02,1.640499999999999944e-02,3.310500000000000248e-02,2.173199999999999793e-06,2.389799999999999910e-02,9.390100000000000183e-03,5.056600000000000070e-04,1.621799999999999978e-02,1.340200000000000103e-06,5.104100000000000303e-03,7.563199999999999856e-07,4.919399999999999884e-01,3.368599999999999806e-03,6.235499999999999723e-03
6.389399999999999524e-01,6.669000000000000015e-05,5.226200000000000039e-07,0.000000000000000000e+00,1.100199999999999963e-02,5.653599999999999945e-03,7.996399999999999394e-09,1.534699999999999953e-02,6.947199999999999730e-03,7.956700000000000578e-03,1.992899999999999880e-02,8.013799999999999743e-03,3.377200000000000341e-02,1.033700000000000027e-03,8.676900000000000094e-07,1.986099999999999924e-06,1.934800000000000093e-06,1.191500000000000048e-07,2.172800000000000079e-02,6.835299999999999883e-03,2.214699999999999988e-05,1.380600000000000056e-02,2.152799999999999954e-06,2.307000000000000023e-02,1.060799999999999981e-03,1.830900000000000106e-03,2.819099999999999826e-06,3.180499999999999994e-02,5.201700000000000074e-02,8.026300000000000101e-03,2.901599999999999883e-06,1.472300000000000075e-06,7.381900000000000423e-06,1.766099999999999962e-02,2.857499999999999971e-02,2.183500000000000016e-05,3.028699999999999850e-08,1.801099999999999923e-02,7.154300000000000264e-06,1.372600000000000035e-02,1.265499999999999996e-06,2.473400000000000165e-09,1.157000000000000037e-08,1.061800000000000070e-02,2.492900000000000151e-03
5.055600000000000371e-03,7.421900000000000209e-05,9.804600000000000121e-03,2.202200000000000078e-03,0.000000000000000000e+00,1.304199999999999939e-06,1.045199999999999954e-04,1.408599999999999956e-02,6.216299999999999885e-07,1.121100000000000048e-02,8.793600000000000646e-05,1.266199999999999964e-02,2.771499999999999875e-04,4.025300000000000102e-04,3.285700000000000153e-06,6.557100000000000032e-10,7.592699999999999970e-03,9.256600000000000448e-06,2.698700000000000057e-03,1.045800000000000008e-06,2.911700000000000052e-02,5.693400000000000072e-05,2.992600000000000121e-02,3.498900000000000182e-07,1.185900000000000051e-07,1.181299999999999955e-04,1.976500000000000050e-06,2.665800000000000125e-05,1.915400000000000089e-02,1.330699999999999982e-03,1.308600000000000058e-06,8.437400000000000100e-07,6.459900000000000191e-03,6.197200000000000365e-04,6.559699999999999906e-03,3.017499999999999892e-04,6.563799999999999635e-01,1.104499999999999971e-06,2.093899999999999993e-04,5.898199999999999873e-05,8.655800000000000169e-04,2.693500000000000131e-06,1.597899999999999876e-01,1.529499999999999957e-02,7.447699999999999806e-03
1.493300000000000085e-04,5.825399999999999740e-07,1.937799999999999980e-05,2.619199999999999914e-03,2.309800000000000145e-05,0.000000000000000000e+00,6.197199999999999933e-07,9.249599999999999532e-04,1.700200000000000044e-06,4.513399999999999877e-03,1.917499999999999852e-05,1.709999999999999891e-05,4.730600000000000075e-06,5.674300000000000061e-08,3.119899999999999978e-06,1.085299999999999980e-03,9.242900000000000266e-07,2.464700000000000094e-07,9.795799999999999961e-05,1.002399999999999923e-05,2.265900000000000108e-05,4.228299999999999819e-06,5.780000000000000225e-05,2.895900000000000050e-11,3.159499999999999936e-08,9.822100000000000275e-01,1.967800000000000018e-03,1.764100000000000000e-04,1.296099999999999900e-03,2.756500000000000120e-05,6.836799999999999387e-08,1.651699999999999993e-09,7.369500000000000338e-06,1.778599999999999973e-03,1.966100000000000115e-06,2.161499999999999888e-05,2.060800000000000163e-09,2.608699999999999821e-03,4.054499999999999890e-06,1.637600000000000042e-05,7.342000000000000178e-06,2.608999999999999991e-04,3.089800000000000131e-05,8.095400000000000453e-06,3.215199999999999832e-07
1.595100000000000025e-05,3.814999999999999815e-03,2.845399999999999896e-05,5.888799999999999590e-04,8.820499999999999998e-04,1.148900000000000008e-03,0.000000000000000000e+00,2.297299999999999950e-03,1.134300000000000092e-06,2.677700000000000129e-05,1.793200000000000043e-05,1.702599999999999928e-05,2.371700000000000078e-04,6.911299999999999779e-04,2.695999999999999937e-04,7.319400000000000428e-05,1.226800000000000053e-06,4.899699999999999862e-05,5.107999999999999477e-04,2.431000000000000001e-04,9.753699999999999593e-01,2.009899999999999849e-05,2.334899999999999956e-05,2.124300000000000142e-06,1.662699999999999920e-04,3.948199999999999908e-05,6.342900000000000545e-05,1.208400000000000099e-03,2.955800000000000059e-05,5.096799999999999719e-05,2.921800000000000113e-04,1.618800000000000154e-05,3.178400000000000062e-04,8.721000000000000019e-05,2.343699999999999939e-05,2.517899999999999999e-03,2.401900000000000161e-05,6.764499999999999680e-03,4.402000000000000205e-05,1.146700000000000049e-05,3.153099999999999932e-06,1.533499999999999924e-03,7.314599999999999390e-05,3.329900000000000221e-04,6.599300000000000326e-05
4.457400000000000251e-02,5.977299999999999627e-03,4.334600000000000210e-10,1.108799999999999955e-05,2.747299999999999829e-03,1.872500000000000032e-03,5.559800000000000159e-03,0.000000000000000000e+00,5.150800000000000219e-05,5.371600000000000375e-06,7.133599999999999768e-06,4.131199999999999803e-03,1.051499999999999917e-03,3.826600000000000259e-05,5.000300000000000220e-05,4.596099999999999665e-03,1.076500000000000011e-07,3.822799999999999896e-03,4.297999999999999973e-07,5.403500000000000019e-06,7.954600000000000039e-05,2.751000000000000116e-09,6.810599999999999987e-03,1.446700000000000069e-02,2.158799999999999955e-02,4.073799999999999858e-07,2.467500000000000009e-09,3.998499999999999706e-08,5.120600000000000152e-02,1.755399999999999956e-08,1.552900000000000070e-03,4.366700000000000052e-07,3.134300000000000020e-03,1.170600000000000066e-06,4.726800000000000213e-06,4.629500000000000282e-02,3.162699999999999842e-09,7.662800000000000563e-06,2.504699999999999922e-07,9.866599999999999676e-03,2.050299999999999837e-08,3.941700000000000238e-03,7.559099999999999708e-01,1.063200000000000083e-02,3.755000000000000047e-06
4.028000000000000229e-06,1.208999999999999944e-05,5.170600000000000097e-06,3.810200000000000213e-05,5.350200000000000038e-06,2.207500000000000125e-05,3.468200000000000099e-06,3.602800000000000047e-06,0.000000000000000000e+00,2.862000000000000042e-05,1.030100000000000048e-04,3.947199999999999749e-05,3.989999999999999797e-02,4.522499999999999611e-03,9.239899999999999780e-01,2.641599999999999831e-06,9.466800000000000570e-06,5.313199999999999884e-05,1.846100000000000171e-02,5.493900000000000034e-06,8.056199999999999202e-06,3.263500000000000179e-05,2.878199999999999842e-09,6.424199999999999919e-05,7.435100000000000185e-08,7.764000000000000068e-03,7.264300000000000227e-05,2.875199999999999848e-05,1.396800000000000077e-05,1.827800000000000084e-03,1.402300000000000042e-04,1.854500000000000083e-04,9.223999999999999777e-05,2.263100000000000094e-03,5.832700000000000077e-06,7.051900000000000194e-06,7.114500000000000609e-08,1.914300000000000019e-04,8.563999999999999659e-06,2.631400000000000124e-07,4.902900000000000102e-06,6.433000000000000241e-05,6.392900000000000236e-06,3.877199999999999911e-06,4.443399999999999673e-06
8.033999999999999475e-02,9.208499999999999672e-03,4.534600000000000257e-05,7.408500000000000643e-05,4.170600000000000002e-03,1.048299999999999926e-02,9.842100000000000579e-10,2.780400000000000146e-03,8.547400000000000490e-09,0.000000000000000000e+00,6.659299999999999921e-06,4.341799999999999664e-06,5.859199999999999950e-07,5.673900000000000005e-06,1.711599999999999921e-08,2.374500000000000051e-05,6.585599999999999727e-11,3.641500000000000292e-02,3.189700000000000140e-06,7.921500000000000644e-05,4.748500000000000361e-06,4.780700000000000450e-07,1.195200000000000009e-05,7.679599999999999495e-08,9.657999999999999529e-08,3.960300000000000066e-08,6.377199999999999857e-09,2.640699999999999975e-05,7.862700000000000244e-03,5.821799999999999724e-05,8.742400000000000251e-08,1.763699999999999990e-01,2.599300000000000135e-03,4.208600000000000244e-07,2.728799999999999976e-02,6.009399999999999799e-07,1.226400000000000060e-02,2.778399999999999939e-10,8.754299999999999980e-07,2.757400000000000061e-07,2.083599999999999877e-08,1.036999999999999955e-08,6.288700000000000401e-01,9.951400000000000436e-04,1.534000000000000079e-10
1.421099999999999967e-02,3.523000000000000090e-03,3.132699999999999987e-08,4.195700000000000124e-03,7.037899999999999778e-08,9.825199999999999531e-09,2.201500000000000123e-01,2.702699999999999975e-07,1.600300000000000056e-01,2.190200000000000138e-05,0.000000000000000000e+00,5.649700000000000338e-04,4.318799999999999722e-02,5.967800000000000188e-02,1.477900000000000047e-01,6.359799999999999655e-04,1.134199999999999965e-02,2.981699999999999760e-07,1.346600000000000054e-02,4.333000000000000019e-05,5.134199999999999910e-09,2.975500000000000141e-06,6.937899999999999676e-07,1.160099999999999955e-05,2.146299999999999919e-09,8.519400000000000173e-09,9.140799999999999371e-08,6.080700000000000243e-05,1.842399999999999843e-05,1.249499999999999916e-02,4.100399999999999878e-02,1.023800000000000049e-06,1.516000000000000125e-01,4.215000000000000132e-05,3.399100000000000168e-04,1.567599999999999940e-03,2.316199999999999856e-02,3.529599999999999888e-10,4.797200000000000081e-05,2.267899999999999996e-09,1.718399999999999929e-06,8.122600000000000220e-08,9.081000000000000183e-02,6.065599999999999734e-08,1.129400000000000041e-07
